"","Rnk","Vendor","G_Level_1","G_Level_2","G_Level_3","G_Level_4","Fleet","WagonNumber","MinTimestamp","MaxTimestamp","CallAttempts","CallSetupSuccesRatio","CallDropRatio","CstAverage","CstPercentile10","CstPoorRatio","SpeechTestsAttempts","SpeechPolqaAverage","SpeechPolqaPercentile90","SpeechTestsPoorRatio","HttpFdfsDlAttemptsCount","HttpFdfsUlAttemptsCount","HttpFdfsCompletedRatio","HttpFdttDlMdrPercentile10","HttpFdttDlMdrAverage","HttpFdttDlMdrPercentile90","HttpFdttUlMdrPercentile10","HttpFdttUlMdrAverage","HttpFdttUlMdrPercentile90","HttpBrowsingAttemptsCount","HttpBrowsingCompletedRatio","HttpBrowsingTransferRttAverage","StreamingAttemptsCount","StreamingCompletedRatio","StreamingVmosPercentile10","StreamingVmosAverage","StreamingTtfpAverage","StreamingTtfpPoorRatio","ApplicationAttemptsCount","ApplicationCompletedRatio","ApplicationTransferTimeAverage","ModuleVoiceTests","ModulePOLQATests","ModuleHTTPTTests","ModuleHTTPBTests","ModuleVSLTBTests","ModuleMAFBBTests","ranCallSetupSuccesRatio","ranCallDropRatio","ranCstAverage","ranCstPoorRatio","ranCstPercentile10","ranSpeechPolqaAverage","ranSpeechTestsPoorRatio","ranSpeechPolqaPercentile90","ranHttpFdfsCompletedRatio","ranHttpFdttDlMdrPercentile10","ranHttpFdttDlMdrAverage","ranHttpFdttDlMdrPercentile90","ranHttpFdttUlMdrPercentile10","ranHttpFdttUlMdrAverage","ranHttpFdttUlMdrPercentile90","ranHttpBrowsingCompletedRatio","ranHttpBrowsingTransferRttAverage","ranStreamingCompletedRatio","ranStreamingVmosPercentile10","ranStreamingVmosAverage","ranStreamingTtfpAverage","ranStreamingTtfpPoorRatio","ranApplicationCompletedRatio","ranApplicationTransferTimeAverage","maxCallSetupSuccesRatio","maxCallDropRatio","maxCstAverage","maxCstPoorRatio","maxCstPercentile10","maxSpeechPolqaAverage","maxSpeechTestsPoorRatio","maxSpeechPolqaPercentile90","maxHttpFdfsCompletedRatio","maxHttpFdttDlMdrPercentile10","maxHttpFdttDlMdrAverage","maxHttpFdttDlMdrPercentile90","maxHttpFdttUlMdrPercentile10","maxHttpFdttUlMdrAverage","maxHttpFdttUlMdrPercentile90","maxHttpBrowsingCompletedRatio","maxHttpBrowsingTransferRttAverage","maxStreamingCompletedRatio","maxStreamingVmosPercentile10","maxStreamingVmosAverage","maxStreamingTtfpAverage","maxStreamingTtfpPoorRatio","maxApplicationCompletedRatio","maxApplicationTransferTimeAverage","summCST","summPOLQA","summVoice","summHttpTDL","summHttpTUL","summHttpT","summHttpB","summVSLVS","summAPPFB","summData","totalCST","totalPOLQA","totalVoice","totalHttpTDL","totalHttpTUL","totalHttpT","totalHttpB","totalVSLVS","totalAPPFB","totalData"
"149",30043,"ALL","Drive","Connecting Roads","Connecting Roads","Landshut - Regensburg","","",43246.6343983333,43246.6920754861,28,1,0,4.5698214173317,3.51660001277924,0,280,4.113357,4.631,0.025,25,25,1,7.644249,14.3986716666667,21.487862,7.40906,17.30469,27.072469,172,1,30,24,1,3.82999999523163,4.00416662295659,1.09,0,25,1,3.2306,3402,32916,5634,20035,2805,2866,18.75,22.5,5.65810714960098,3,2.24501999616623,2.33501775,2.25,1.436625,6,3.8799526122,0.72434345,0.275708688,4.151124936,1.91314932307692,1.059478512,27,1.2,16.5,2.87249999642372,2.85312496721745,0.6615,0.75,9,4.5,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,10.9031271457672,6.02164275,58.1747698957672,4.8800047502,7.12375277107692,18.0037575212769,28.2,23.6371249636412,13.5,83.3408824849181,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"150",30044,"ALL","Drive","Connecting Roads","Connecting Roads","Leipzig - Nordhausen","","",43228.3466233796,43228.4055466782,32,1,0.03125,3.91318748891354,3.42570009231567,0,309,3.617702,4.62,0.042071197411,26,26,1,7.43125,18.3792,34.48379,9.785805,18.9177742307692,27.54508,187,1,25,26,1,3.79999995231628,3.95384614284222,1.178076,0,25,1,5.23528,3402,32916,5634,20035,2805,2866,18.75,15.46875,6,3,2.25,1.887319,1.73786407767,1.4325,6,3.87190125,0.956890105263158,0.58761096,4.330806858,2.09679275857988,1.08216384,27,1.275,16.5,2.84999996423721,2.81538460713166,0.6482886,0.75,9,3.944124,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,11.25,5.05768307767,50.52643307767,5.41640231526316,7.50976345657988,18.926165771843,28.275,23.5636731713689,12.944124,83.7089629432119,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"151",30045,"ALL","Drive","Connecting Roads","Connecting Roads","Ludwigshafen - Saarbrücken","","",43239.456284838,43239.6598893403,71,0.971830985915,0.014492753623,5.2428027911925,3.85199999809265,0.028169014084,679,4.028645,4.63,0.027982326951,57,57,0.973684210526,3.8734,20.5828644642857,48.93274,4.598735,15.4886960714286,26.232725,400,0.9675,47,56,0.964285714285,3.9300000667572,4.0685184708348,1.202037,0,57,0.964912280701,5.56649090909091,3402,32916,5634,20035,2805,2866,15.228873239375,19.239130434825,5.2543183252845,0.1830985916,2.1444000005722,2.27148375,2.16053019147,1.43625,4.94736842104,2.360484,1.08563050291353,0.93438576,3.938664366,1.7064053989011,1.0191708,21.2823529411765,1.03,12.7563025209529,2.9475000500679,2.9013888531261,0.64469445,0.75,6.98452012380706,3.79507909090909,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,7.58181691745671,5.86826394147,47.9180845331267,4.38050026291353,6.6642405649011,15.9921092488546,22.3123529411765,19.9998858741469,10.7795992147161,69.0839472788942,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"152",30046,"ALL","Drive","Connecting Roads","Connecting Roads","Monheim - Nürnberg","","",43249.6271316898,43249.7156376968,41,0.975609756097,0.025,4.61319516344768,3.59800004959106,0.024390243902,390,4.105025,4.64,0.025641025641,36,36,1,8.87414,25.3500138888889,47.716275,5.491385,17.4667611111111,27.94883,249,1,29,35,1,3.79999995231628,3.9365713936942,1.23,0,37,0.972972972972,5.84522222222222,3402,32916,5634,20035,2805,2866,15.701219512125,16.875,5.63208290193139,0.5609756098,2.22059998512268,2.32876875,2.23076923077,1.44,6,3.926442492,1.36413239035088,0.9051906,4.006148706,1.9316004957265,1.10154384,27,1.215,16.5,2.84999996423721,2.80242854527065,0.6405,0.75,7.37837837832,3.66965,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,8.41365849685407,5.99953798077,46.9894159897491,6.19576548235088,7.03929304172649,19.2350585240774,28.215,23.5429285095079,11.04802837832,82.0410154119052,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"153",30047,"ALL","Drive","Connecting Roads","Connecting Roads","München - Frankfurt","","",43256.7486117593,43257.5982303935,186,0.989247311827,0.010869565217,5.12809678303298,3.68649995326996,0.016129032258,1810,3.919685,4.62,0.032596685082,151,151,0.966887417218,4.39223,20.7119123489933,37.17478,4.326835,15.7866455479452,27.32896,1086,0.981583793738,49,150,0.98,3.70000004768372,3.92789114089239,1.414557,0,156,0.974358974358,5.06493421052632,3402,32916,5634,20035,2805,2866,17.405913978375,20.054347826175,5.32314193018021,1.3870967742,2.19405001401901,2.18976375,2.02209944754,1.4325,4.71211530968471,3.0142098,1.09316961617803,0.65219472,3.918108726,1.74032580084299,1.07179008,23.68508287284,1.01,14.3,2.77500003576279,2.79591835566929,0.61281645,0.75,7.46153846148,4.02077960526316,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,8.90428871839923,5.64436319754,52.0089137204892,4.75957413617803,6.73022460684299,16.2019140527057,24.69508287284,21.2337348414321,11.4823180667432,73.613049833721,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"154",30048,"ALL","Drive","Connecting Roads","Connecting Roads","Neubiberg - Freising","","",43246.31471375,43246.3625018519,26,1,0,3.68130771930401,3.5330001115799,0,260,4.402884,4.64,0.007692307692,22,22,1,7.85025,38.1260595238095,72.71455,9.0723,24.3262961904762,35.56966,148,1,29,22,1,3.90000009536743,4.00454543937336,1.172727,0,22,1,5.56422727272727,3402,32916,5634,20035,2805,2866,18.75,22.5,6,3,2.24009996652603,2.552163,2.85576923079,1.44,6,3.88773945,2.11052242481203,1.231786375,4.27686588,2.30003647952381,1.2278483,27,1.215,16.5,2.92500007152557,2.85340907953002,0.64909095,0.75,9,3.79609772727273,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,11.240099966526,6.84793223079,59.338032197316,7.23004824981203,7.80475065952381,21.0347989093358,28.215,23.6775001010556,12.7960977272727,85.7233967376642,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"155",30049,"ALL","Drive","Connecting Roads","Connecting Roads","Neubrandenburg - Greifswald","","",43223.7238686111,43223.766116088,23,1,0.043478260869,4.4679999973463,4.10799999237061,0,220,4.20659,4.63,0.00909090909,19,19,1,2.303766,27.0554321052632,49.124836,4.769832,19.4689431578947,28.816324,137,1,33,19,1,3.73999996185303,3.95789471425508,1.303157,0,20,1,5.035,3402,32916,5634,20035,2805,2866,18.75,12.717391304475,5.71920000159222,3,2.06760000228882,2.4049425,2.761363636425,1.43625,6,0.382745160000001,1.46376471772853,0.938996063999999,3.9515992992,2.15954122105263,1.143183552,27,1.17,16.5,2.80499997138977,2.81842103569131,0.62952645,0.75,9,4.03425,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,10.786800003881,6.602556136425,48.856747444781,2.78550594172853,7.25432407225263,16.0398300139812,28.17,23.5029474570811,13.03425,80.7470274710622,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"156",30050,"ALL","Drive","Connecting Roads","Connecting Roads","Neuss - Köln","","",43264.6563221759,43264.7115889468,30,1,0,4.78700004418691,4.10849990844727,0,300,4.358566,4.65,0,25,25,1,12.174192,89.1464924,176.119534,8.579224,24.0839196,44.86158,178,1,32,25,1,3.84000000953674,4.00799995422363,1.2752,0,24,1,5.65766666666667,3402,32916,5634,20035,2805,2866,18.75,22.5,5.52779997348785,3,2.06745002746582,2.5189245,3.375,1.44375,6,4.0511844576,2.6746050547,1.490298835,4.2395893344,2.2955525126,1.2743079,27,1.18,16.5,2.88000000715256,2.85599996566772,0.63372,0.75,9,3.75405,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,10.5952500009537,7.3376745,59.1829245009537,8.2160883473,7.809449747,22.0255380943,28.18,23.6197199728203,12.75405,86.5793080671203,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"157",30051,"ALL","Drive","Connecting Roads","Connecting Roads","Neustadt in Holstein - Rendsburg","","",43227.6893662268,43227.7575365162,37,1,0,4.95875672391943,4.18999996185303,0,370,4.219297,4.64,0.018918918918,31,31,1,4.79998,32.0226935483871,71.74375,6.29729,16.9278656666667,26.722851,217,0.995391705069,33,31,1,3.79999995231628,4.01612899380345,1.266451,0,31,1,5.23503225806452,3402,32916,5634,20035,2805,2866,18.75,22.5,5.42474596564834,3,2.04300001144409,2.41447275,2.43243243246,1.44,6,3.5279748,1.75395735993209,1.229359375,4.067075124,1.87024932205128,1.042696848,26.17050691242,1.17,16.5,2.84999996423721,2.86209674535259,0.63503235,0.75,9,3.94423548387097,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,10.4677459770924,6.28690518246,58.0046511595524,6.51129153493209,6.98002129405128,19.4913128289834,27.34050691242,23.5971290595898,12.944235483871,83.3731842848642,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"158",30052,"ALL","Drive","Connecting Roads","Connecting Roads","Niedenstein - Peine","","",43249.5632082639,43249.6577825579,49,1,0,5.17212246388805,4.00939998626709,0,490,4.032,4.64,0.020408163265,40,40,0.975,5.753299,24.1934485,56.962882,5.661791,17.1677605,27.044425,288,0.996527777777,33,40,1,3.79999995231628,3.94250000119209,1.3915,0,41,0.975609756097,5.661425,3402,32916,5634,20035,2805,2866,18.75,22.5,5.29672652166717,3,2.09718000411987,2.274,2.38775510205,1.44,5,3.8084747022,1.29656462289474,1.127109168,4.0190313996,1.89756042615385,1.0581324,26.37499999986,1.17,16.5,2.84999996423721,2.80687500089407,0.616275,0.75,7.53658536582,3.75235875,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,10.393906525787,6.10175510205,57.745661627837,6.23214849309474,6.97472422575385,18.2068727188486,27.54499999986,23.5231499651313,11.28894411582,80.5639667996599,11.25,7.5,60,9,9,24,28.5,24,13.5,90
