"","Rnk","Vendor","G_Level_1","G_Level_2","G_Level_3","G_Level_4","Fleet","WagonNumber","MinTimestamp","MaxTimestamp","CallAttempts","CallSetupSuccesRatio","CallDropRatio","CstAverage","CstPercentile10","CstPoorRatio","SpeechTestsAttempts","SpeechPolqaAverage","SpeechPolqaPercentile90","SpeechTestsPoorRatio","HttpFdfsDlAttemptsCount","HttpFdfsUlAttemptsCount","HttpFdfsCompletedRatio","HttpFdttDlMdrPercentile10","HttpFdttDlMdrAverage","HttpFdttDlMdrPercentile90","HttpFdttUlMdrPercentile10","HttpFdttUlMdrAverage","HttpFdttUlMdrPercentile90","HttpBrowsingAttemptsCount","HttpBrowsingCompletedRatio","HttpBrowsingTransferRttAverage","StreamingAttemptsCount","StreamingCompletedRatio","StreamingVmosPercentile10","StreamingVmosAverage","StreamingTtfpAverage","StreamingTtfpPoorRatio","ApplicationAttemptsCount","ApplicationCompletedRatio","ApplicationTransferTimeAverage","ModuleVoiceTests","ModulePOLQATests","ModuleHTTPTTests","ModuleHTTPBTests","ModuleVSLTBTests","ModuleMAFBBTests","ranCallSetupSuccesRatio","ranCallDropRatio","ranCstAverage","ranCstPoorRatio","ranCstPercentile10","ranSpeechPolqaAverage","ranSpeechTestsPoorRatio","ranSpeechPolqaPercentile90","ranHttpFdfsCompletedRatio","ranHttpFdttDlMdrPercentile10","ranHttpFdttDlMdrAverage","ranHttpFdttDlMdrPercentile90","ranHttpFdttUlMdrPercentile10","ranHttpFdttUlMdrAverage","ranHttpFdttUlMdrPercentile90","ranHttpBrowsingCompletedRatio","ranHttpBrowsingTransferRttAverage","ranStreamingCompletedRatio","ranStreamingVmosPercentile10","ranStreamingVmosAverage","ranStreamingTtfpAverage","ranStreamingTtfpPoorRatio","ranApplicationCompletedRatio","ranApplicationTransferTimeAverage","maxCallSetupSuccesRatio","maxCallDropRatio","maxCstAverage","maxCstPoorRatio","maxCstPercentile10","maxSpeechPolqaAverage","maxSpeechTestsPoorRatio","maxSpeechPolqaPercentile90","maxHttpFdfsCompletedRatio","maxHttpFdttDlMdrPercentile10","maxHttpFdttDlMdrAverage","maxHttpFdttDlMdrPercentile90","maxHttpFdttUlMdrPercentile10","maxHttpFdttUlMdrAverage","maxHttpFdttUlMdrPercentile90","maxHttpBrowsingCompletedRatio","maxHttpBrowsingTransferRttAverage","maxStreamingCompletedRatio","maxStreamingVmosPercentile10","maxStreamingVmosAverage","maxStreamingTtfpAverage","maxStreamingTtfpPoorRatio","maxApplicationCompletedRatio","maxApplicationTransferTimeAverage","summCST","summPOLQA","summVoice","summHttpTDL","summHttpTUL","summHttpT","summHttpB","summVSLVS","summAPPFB","summData","totalCST","totalPOLQA","totalVoice","totalHttpTDL","totalHttpTUL","totalHttpT","totalHttpB","totalVSLVS","totalAPPFB","totalData"
"1",0,"ALL","ALL","","","","","",43222.5191812963,43271.6737069097,15550,0.962122186495,0.028607713388,6.47014153215474,4.80170006752014,0.028819581523,145014,3.455322,4.02,0.030969423641,11859,11832,0.941412350681,2.787748,23.1533749204187,55.97182,2.020935,10.7081962330181,19.398791,84713,0.959061773281,70,11572,0.969063256135,3.40000009536743,3.86454237273868,1.749103,0.008918219923,12057,0.941776561333,5.78733676794362,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",100,"ALL","Drive","City","","","","",43222.5963192593,43271.6737069097,8669,0.979697773676,0.013305074767,6.02329430303764,4.79779987335205,0.014504620423,83726,3.556306,4.02,0.018154456202,6862,6845,0.969577588093,3.21437,25.1524380276364,59.059756,2.48309,11.2932423641703,19.533745,48988,0.980893279986,65,6709,0.985094648978,3.5,3.88916223787616,1.652411,0.005749735209,6988,0.969376073268,5.62493209329792,8669,83726,13707,48988,6709,6988,54.0407390316667,65.02119392475,15.9378818585663,5.16512652566667,6.20220012664795,6.05230111111111,8.1845543798,4.025,15.9602435852235,5.100354,4.50863266853972,3.92478048,12.493467,4.09589710230053,2.3253992,78.5359679916,2.83333333333333,49.5347046252667,8.75,9.22290559469039,1.94457781818182,1.96667843515556,23.9119162260706,12.5626018600531,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,27.3052085108809,18.2618554909111,164.628996958209,13.5337671485397,18.9147633023005,48.4087740360638,81.3693013249333,71.4188664732944,36.4745180861237,237.671459920415,37.5,25,200,30,30,80,95,80,45,300
"3",200,"ALL","Walk","City","","","","",43224.7203931713,43253.6829255093,2170,0.976958525345,0.012264150943,6.31716760641403,4.76250004768372,0.026685393258,20897,3.488299,4.03,0.018758673493,1642,1640,0.94058500914,2.80382,28.7409766223909,69.48377,2.125201,12.3581012531646,27.48067,11795,0.967019923696,71,1604,0.978802992518,3.59999990463257,3.91059340428395,1.646343,0.005732484076,1662,0.969915764139,5.91166439205957,2170,20897,3282,11795,1604,1662,26.4496927802083,32.900943396375,7.57710985811462,0.552434457,3.11874997615814,2.89391472222222,4.06206632535,2.01875,6.615765136,1.688022,2.60372667112753,2.03951570833333,5.11938315,2.2499986993184,1.7984536,35.3689250179765,1.31666666666667,23.6138819616333,4.49999988079071,4.63824175535494,0.973392181818182,0.983722576088889,11.9940539392235,6.06625170595532,31.25,37.5,10,5,3.75,4.375,5.625,2.5,10,7.875,4.625,2.5,7.875,4.625,2.5,45,2.5,27.5,5,5,1.25,1.25,15,7.5,11.2482942912728,8.97473104757222,79.5736615154283,6.33126437946087,9.1678354493184,22.1148649647793,36.6855916846431,34.709238355686,18.0603056451789,111.570000650287,18.75,12.5,100,15,15,40,47.5,40,22.5,150
"4",300,"ALL","Drive","Connecting Roads","","","","",43222.5191812963,43270.5525951852,3370,0.945103857566,0.031711145996,7.09249603020548,4.83049988746643,0.041208791208,30754,3.325396,4.02,0.037848735123,2496,2489,0.909327983951,3.458281,18.5717303696013,43.010258,1.54878,9.09494910721736,18.134498,17844,0.926417843532,77,2449,0.941200489995,3.29999995231628,3.86586910897377,1.863971,0.013454861111,2553,0.889541715628,5.96585909291061,3370,30754,4985,17844,2449,2553,11.88798219575,15.3649921509,3.92600317583562,0,1.85085003376007,1.54629533333333,1.86453794631,1.2075,3.08690778214588,1.83743406,0.968137932118815,0.792246192,1.9821942,0.978501898360131,0.630455904,16.0625024723012,0.73,10.9638027525529,2.47499996423721,2.74940183173033,0.560294072727273,0.48726851852,3.79235501483294,3.61536340819023,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,5.77685320959569,4.61833327964333,37.648160835889,3.59781818411882,3.59115200236013,10.2758779686248,16.7925024723012,17.2357671397678,7.40771842302317,51.7118660037169,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"5",400,"ALL","Walk","Train Route","","","","",43222.6446873727,43252.558658912,1341,0.86726323639,0.161650902837,8.17427728922018,4.87360010147095,0.098625707356,9637,2.92109,4,0.146829926325,859,858,0.811298776936,0.895896,10.1082256836158,20.118526,1.13186,7.47680747330962,14.732522,6086,0.863621426224,90,810,0.901234567901,2.79999995231628,3.53841780391458,2.482958,0.030136986301,854,0.817330210772,6.49548710601719,1341,9637,1717,6086,810,854,6.6905294556,0,2.04038544574924,0.0274858528800001,1.22527997970581,0.716403333333334,0,0.8,2.490390215488,0.50674688,0.648658054689265,0.268773795555556,2.1567488,1.03628919572954,0.3086672,13.090371344064,0.4,8.827160493822,1.06666660308838,1.66920890195729,0.328512145454545,0.355149670219259,3.807962529264,2.26787010506208,12.5,15,4,2,1.5,1.75,2.25,1,4,3.2,1.8,1,3.2,1.8,1,18,1,11,2,2,0.5,0.5,6,3,3.29315127833505,1.51640333333333,11.5000840672684,1.42417873024482,3.50170519572954,7.41627414146236,13.490371344064,12.2466978145415,6.07583263432608,39.2291759343939,7.5,5,40,6,6,16,19,16,9,60
"6",601,"Ericsson","Drive","City","","","","",43234.8344441204,43271.6737069097,4485,0.977480490523,0.015510948905,6.01247085508886,4.80180006027222,0.01360852801,43114,3.54642,4.02,0.018903372454,3605,3599,0.96418656302,3.030864,24.0908238360842,55.816058,2.739052,11.5195554014388,19.699946,25751,0.978408605491,65,3460,0.981213872832,3.41000003814697,3.86818162703198,1.686524,0.00706921944,3662,0.971327143637,5.59324992971605,8669,83726,13707,48988,6709,6988,53.11687105125,63.36678832125,15.9667443864297,5.46382399666667,6.19819993972778,6.01385555555556,8.1096627546,4.025,15.4528529901177,4.3296288,4.30189727334272,3.66528464,12.660241104,4.18177999849474,2.35199136,77.0451632946,2.83333333333333,48.1117533717333,8.52500009536743,9.17045406757995,1.93217309090909,1.90803469155556,24.2654287274,12.6101251054259,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,27.6287683228242,18.1485183101556,162.26094600548,12.2968107133427,19.1940124624947,46.9436761659551,79.8784966279333,69.6474153171454,36.8755538328259,233.34514194386,37.5,25,200,30,30,80,95,80,45,300
"7",602,"Huawei","Drive","City","","","","",43222.5963192593,43263.5100678125,4184,0.982074569789,0.010951569724,6.03482101366716,4.79199981689453,0.015458937198,40612,3.566801,4.03,0.017359401162,3257,3246,0.97554974627,3.55626,26.2623791966676,62.2641,2.318872,11.0574289295352,19.201208,23237,0.983646770237,64,3249,0.989227454601,3.59999990463257,3.91132439525512,1.616378,0.00435594275,3326,0.967227901383,5.65996269816599,8669,83726,13707,48988,6709,6988,55.0310707454167,66.786322707,15.9071439635542,4.847020934,6.20800018310547,6.093115,8.2640598838,4.0375,16.7399661693333,6.536292,4.72477910671948,4.0188675,11.4588936,4.00640892710568,2.27219328,80.1880621422,2.86666666666667,51.0500666870334,8.99999976158142,9.27831098813779,1.95768072727273,2.064405725,23.6086449011294,12.510055952751,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,26.9621650806597,18.3946748838,167.174233416876,15.2799386067195,17.7374958071057,49.7574005831585,83.0547288088667,73.3504638890253,36.1187008538804,242.281294134931,37.5,25,200,30,30,80,95,80,45,300
"8",701,"Ericsson","Walk","City","","","","",43224.7203931713,43251.4311248264,1451,0.969676085458,0.013503909026,6.57787192455066,4.76300001144409,0.03448275862,13847,3.380065,4.02,0.020943164584,1049,1048,0.920362422508,2.135572,23.2633805935614,60.778733,1.95954,11.7219946439318,24.673382,7542,0.95558207372,78,1012,0.97628458498,3.5,3.8689945986879,1.924078,0.00910931174,1056,0.964015151515,6.2850039292731,2170,20897,3282,11795,1604,1662,24.93251780375,32.43603411525,7.22950410059912,0,3.11849999427795,2.68345972222222,3.9528417708,2.0125,5.66411400037647,0.284701200000002,2.07038179463624,2.00324472083333,4.597551,2.12930154782295,1.57387056,32.9467920818824,1.2,23.152173913,4.375,4.58624324835988,0.922894909090909,0.908681961333333,11.5775401069412,5.8099973804846,31.25,37.5,10,5,3.75,4.375,5.625,2.5,10,7.875,4.625,2.5,7.875,4.625,2.5,45,2.5,27.5,5,5,1.25,1.25,15,7.5,10.3480040948771,8.64880149302222,76.3653575068993,4.35832771546958,8.30072310782296,18.323164823669,34.1467920818824,33.9449940317841,17.3875374874258,103.802488424761,18.75,12.5,100,15,15,40,47.5,40,22.5,150
"9",702,"Huawei","Walk","City","","","","",43238.6573960069,43253.6829255093,719,0.991655076495,0.009817671809,5.79904056295648,4.76300001144409,0.011188811188,7050,3.700882,4.04,0.014468085106,593,592,0.976371308016,6.643684,38.0164969846678,83.290782,3.138642,13.4459199313894,30.792598,4253,0.987303080178,59,592,0.983108108108,3.79999995231628,3.98121130794184,1.174862,0,606,0.980198019801,5.27183333333333,2170,20897,3282,11795,1604,1662,29.5114742697917,33.818373071625,8.20095943704352,3.13519813533333,3.11849999427795,3.30727055555556,4.2765957447,2.025,8.42475386773334,6.403552092,3.50686944324397,2.097044925,6.380468892,2.45640532031491,2.00660498333333,41.1909240534,1.51666666666667,24.4031531531333,4.74999994039536,4.7265141349273,1.0812845,1.25,13.0198019801,6.546125,31.25,37.5,10,5,3.75,4.375,5.625,2.5,10,7.875,4.625,2.5,7.875,4.625,2.5,45,2.5,27.5,5,5,1.25,1.25,15,7.5,14.4546575666548,9.60886630025556,87.393371208327,12.007466460244,10.8434791956482,31.2756995236255,42.7075907200667,36.210951728456,19.5659269801,129.760168952248,18.75,12.5,100,15,15,40,47.5,40,22.5,150
"10",801,"Ericsson","Drive","Connecting Roads","","","","",43234.7196301389,43270.5525951852,1406,0.948079658605,0.031507876969,7.03153543075216,4.77179985046387,0.039444850255,12875,3.322765,4.01,0.039456310679,1039,1036,0.912771084337,2.798788,16.4261362054934,36.776848,1.525178,8.23822931282051,17.946392,7426,0.929302450848,80,1023,0.938416422287,3.20000004768372,3.83902255160113,1.954906,0.016666666666,1060,0.909433962264,5.99570850622406,3370,30754,4985,17844,2449,2553,12.259957325625,15.410727681975,3.97477165539827,0,1.86846004486084,1.54322583333333,1.81631067963,1.20375,3.18412473422118,1.00647288,0.842790062531456,0.642644352,1.93758642,0.880967644844182,0.621426816,16.4290172842165,0.7,10.7476280834612,2.40000003576279,2.72926691370085,0.550373890909091,0.444444444453333,4.63485016647529,3.60193117219917,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,5.84323170025911,4.56328651296333,38.0772032208224,2.49190729453146,3.43998088084418,9.11601290959682,17.1290172842165,16.8717133682872,8.23678133867447,51.353524900775,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"11",802,"Huawei","Drive","Connecting Roads","","","","",43222.5191812963,43263.5853781366,1964,0.942973523421,0.031857451403,7.13625851612661,4.86700010299683,0.042475091767,17879,3.327291,4.02,0.036691090105,1457,1453,0.906872852233,4.138252,20.051813922807,45.895246,1.579365,9.68236246835442,18.237171,10418,0.924361681704,75,1426,0.94319775596,3.5,3.88503096405015,1.799017,0.011160714285,1493,0.875418620227,5.94384315225708,3370,30754,4985,17844,2449,2553,11.621690427625,15.332073434325,3.89099318709871,0,1.83989996910095,1.54850616666667,1.89926729685,1.2075,3.01758641599059,2.69419752,1.05460597127978,0.861485904000001,2.03999985,1.04537665024343,0.635384208,15.8012489694494,0.75,11.1188845804235,2.625,2.76377322303761,0.567379963636364,0.517857142866667,3.19420038608471,3.62527058148431,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,5.73089315619966,4.65527346351667,37.3399304816663,4.61028939527978,3.72076070824343,11.3486365195138,16.5512489694494,17.5928949099642,6.81947096756902,52.3122513664964,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"12",901,"Ericsson","Walk","Train Route","","","","",43223.4638481713,43251.6594079398,619,0.852988691437,0.181818181818,8.66520106325794,4.887300157547,0.106761565836,4269,2.866523,3.99,0.141719372218,383,381,0.732984293193,0.582148,8.76369924924925,16.005406,0.819992,5.88225100946372,12.533052,2734,0.79992684711,99,351,0.851851851851,2.71600003242493,3.50727424773085,2.943344,0.043478260869,380,0.728947368421,7.29629963898917,1341,9637,1717,6086,810,854,6.11954765748,0,1.7785594329291,0,1.2225399684906,0.673962333333333,0,0.78,1.863874345544,0.10514944,0.54109593993994,0.195651662222222,1.09223936,0.781160161514196,0.255346715151515,10.79736649596,0.34,7.740740740722,0.954666709899903,1.65363712386543,0.295029527272727,0.315619967795556,2.747368421052,2.05432009626956,12.5,15,4,2,1.5,1.75,2.25,1,4,3.2,1.8,1,3.2,1.8,1,18,1,11,2,2,0.5,0.5,6,3,3.0010994014197,1.45396233333333,10.574609392233,0.841897042162162,2.12874623666571,4.83451762437187,11.13736649596,10.9596940695556,4.80168851732156,31.733266707209,7.5,5,40,6,6,16,19,16,9,60
"13",902,"Huawei","Walk","Train Route","","","","",43222.6446873727,43252.558658912,722,0.879501385041,0.144881889763,7.76553779142874,4.8552001953125,0.091851851851,5368,2.964485,4,0.150894187779,476,477,0.874081846799,1.042692,10.9193258695652,20.861842,1.772385,8.43778541825096,15.294305,3352,0.915572792362,83,459,0.93899782135,2.90000009536743,3.56002319439934,2.163573,0.020881670533,474,0.888185654008,5.96858669833729,1341,9637,1717,6086,810,854,7.18005540164,0.511811023699998,2.25837984457134,0.16296296298,1.2289599609375,0.750155,0,0.8,2.992654774392,0.69464576,0.713546069565217,0.281988302222222,2.613492224,1.19004566692015,0.322286181818182,14.960620525032,0.446666666666667,9.6579520697,1.20000012715658,1.68001159719967,0.351740145454546,0.38257282805037,4.658227848096,2.40942399049881,12.5,15,4,2,1.5,1.75,2.25,1,4,3.2,1.8,1,3.2,1.8,1,18,1,11,2,2,0.5,0.5,6,3,3.65030276848884,1.550155,12.8923241938288,1.69018013178744,4.12582407273834,8.80865897891778,15.4072871916987,13.2722767675612,7.06765183859481,44.5558747767724,7.5,5,40,6,6,16,19,16,9,60
"14",2100,"ALL","Drive","City","Big Cities","","","",43224.4099099306,43271.6737069097,4498,0.982214317474,0.010411951109,5.66937336439805,4.77400016784668,0.008787742226,43692,3.624541,4.03,0.014510665568,3666,3659,0.981433447098,4.028002,29.5080661736959,66.00111,3.835736,12.8011086705685,20.052031,26149,0.987991892615,58,3641,0.993957703927,3.70000004768372,3.92428385674476,1.502821,0.003315833103,3745,0.984245660881,5.12607406402604,8669,83726,13707,48988,6709,6988,55.0892989475,67.19103666825,16.6612532712039,7.07075259133333,6.22599983215332,6.31765944444444,8.5489334432,4.0375,17.5244596130667,8.5176084,5.35683393908815,4.05000925,12.936605472,4.66811303395934,2.40832496,82.795135569,3.06666666666667,52.7844914399,9.25000011920929,9.31070964186189,1.99897418181818,2.1684166897,26.8491321762,13.3108889039609,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,29.9580056946906,18.9040928876444,171.142434198085,17.9244515890882,20.0130434659593,55.4619546681142,85.8618022356667,75.5125920724894,40.1600210801609,256.996370056431,37.5,25,200,30,30,80,95,80,45,300
"15",2200,"ALL","Drive","City","Medium Cities","","","",43223.3623498727,43270.5269496528,2359,0.975413310724,0.022164276401,6.05142882103751,4.79300022125244,0.017687661777,22465,3.56148,4.02,0.019630536389,1866,1861,0.960021464985,2.563636,21.9787647438634,52.086708,2.4815,10.9407909562399,18.95747,13356,0.977762803234,66,1767,0.973401245048,3.40000009536743,3.86439823986486,1.696959,0.004069767441,1910,0.9722513089,5.81947065158858,8669,83726,13707,48988,6709,6988,52.255546135,58.37679269925,15.8628564772333,4.104112741,6.20699977874756,6.07242222222222,8.0369463611,4.025,15.0608437632941,2.3672712,3.89060155538393,3.36693664,12.48345,3.96214631159873,2.2331952,76.6576819404,2.8,45.2471231842667,8.50000023841858,9.16099559966215,1.92837854545455,2.0930232559,24.45026178,12.2707940226171,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,26.1739689969809,18.1343685833222,154.940676414553,9.62480939538393,18.6787915115987,43.3644446702768,79.4576819404,66.9295208237019,36.7210558026171,226.472703236996,37.5,25,200,30,30,80,95,80,45,300
"16",2300,"ALL","Drive","City","Small Cities","","","",43222.5963192593,43252.6189622801,1812,0.979028697571,0.009019165727,6.86294032253504,4.88239994049072,0.0245398773,17569,3.379998,4.01,0.025328703967,1330,1325,0.950282485875,2.774324,18.1730392412312,44.3161940000001,1.47689,7.82290191830781,17.28652,9483,0.965728145101,82,1301,0.976172175249,3.20000004768372,3.82261809448558,2.018354,0.014960629921,1333,0.923480870217,6.82520227457352,8669,83726,13707,48988,6709,6988,53.76195732125,68.23562570475,13.6988258065732,1.8200409,6.11760005950928,5.36665888888889,7.4671296033,4.0125,14.1442339647059,3.2521608,3.14948658908187,2.74529552,6.154407,2.77894739463989,1.9658432,70.1907438074824,2.26666666666667,46.2631309246333,8.00000011920929,9.05654523621394,1.81150763636364,1.55730533684444,17.4325934424,10.8997303005686,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,21.6364667660825,16.8462884921889,160.480338284271,9.14694290908188,10.8991975946399,34.1903744684276,72.457410474149,66.6884892532647,28.3323237429686,201.66859793881,37.5,25,200,30,30,80,95,80,45,300
"17",3100,"ALL","Walk","City","Big Cities","","","",43224.7203931713,43253.6829255093,2170,0.976958525345,0.012264150943,6.31716760641403,4.76250004768372,0.026685393258,20897,3.488299,4.03,0.018758673493,1642,1640,0.94058500914,2.80382,28.7409766223909,69.48377,2.125201,12.3581012531646,27.48067,11795,0.967019923696,71,1604,0.978802992518,3.59999990463257,3.91059340428395,1.646343,0.005732484076,1662,0.969915764139,5.91166439205957,2170,20897,3282,11795,1604,1662,26.4496927802083,32.900943396375,7.57710985811462,0.552434457,3.11874997615814,2.89391472222222,4.06206632535,2.01875,6.615765136,1.688022,2.60372667112753,2.03951570833333,5.11938315,2.2499986993184,1.7984536,35.3689250179765,1.31666666666667,23.6138819616333,4.49999988079071,4.63824175535494,0.973392181818182,0.983722576088889,11.9940539392235,6.06625170595532,31.25,37.5,10,5,3.75,4.375,5.625,2.5,10,7.875,4.625,2.5,7.875,4.625,2.5,45,2.5,27.5,5,5,1.25,1.25,15,7.5,11.2482942912728,8.97473104757222,79.5736615154283,6.33126437946087,9.1678354493184,22.1148649647793,36.6855916846431,34.709238355686,18.0603056451789,111.570000650287,18.75,12.5,100,15,15,40,47.5,40,22.5,150
"18",4100,"ALL","Drive","Connecting Roads","Highway","","","",43222.524755544,43270.5507618634,2211,0.947535052012,0.032935560859,6.90344211834633,4.80999994277954,0.039051603905,20200,3.357674,4.02,0.036633663366,1659,1656,0.916742081447,3.66102,18.3149943934632,41.6669,1.53779,9.36655138906347,18.29346,11840,0.933530405405,75,1634,0.949816401468,3.29999995231628,3.86445552487042,1.830612,0.012894906511,1698,0.901648998822,5.83736903984324,3370,30754,4985,17844,2449,2553,12.1918815015,15.089498806725,4.07724630532294,0,1.85700001716614,1.583953,1.90099009902,1.2075,3.29624700556235,2.0928852,0.953139146144431,0.7600056,1.9614231,1.00942277352415,0.63808608,16.9662162161647,0.75,11.6328029375153,2.47499996423721,2.74834164365281,0.563933236363636,0.494734579853333,4.30513406775529,3.67318393207054,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,5.93424632248907,4.69244309902,37.9080697297341,3.80602994614443,3.60893195352415,10.7112089052309,17.7162162161647,17.9148123616223,7.97831799982584,54.3205554828438,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"19",4200,"ALL","Drive","Connecting Roads","Roads","","","",43222.5191812963,43270.5525951852,1159,0.940465918895,0.029357798165,7.45396710968018,4.8730001449585,0.045333333333,10554,3.263617,4.01,0.040174341481,837,833,0.894610778443,3.091364,19.0716899020808,46.228108,1.576975,8.55882102977667,17.8816,6004,0.91239173884,79,815,0.923926380368,3.31999998092651,3.86878263158786,1.932682,0.014608233731,855,0.865497076023,6.23169459459459,3370,30754,4985,17844,2449,2553,11.308239861875,15.894495412875,3.63682631225586,0,1.83809995651245,1.47421983333333,1.79476975557,1.20375,2.67136315603765,1.37511864,0.997346094279457,0.869474592,2.03548275,0.917465778774575,0.6183168,14.2803621114353,0.71,9.62251894622118,2.48999998569489,2.75158697369089,0.552798327272727,0.47189021692,2.77399380803294,3.50732216216216,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,5.47492626876831,4.47273958890333,37.1504011324216,3.24193932627946,3.57126532877458,9.48456781109168,14.9903621114353,15.8887944497997,6.2813159701951,46.6450403425218,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"20",5000,"ALL","Walk","Train Route","Train","","","",43222.6446873727,43252.558658912,1341,0.86726323639,0.161650902837,8.17427728922018,4.87360010147095,0.098625707356,9637,2.92109,4,0.146829926325,859,858,0.811298776936,0.895896,10.1082256836158,20.118526,1.13186,7.47680747330962,14.732522,6086,0.863621426224,90,810,0.901234567901,2.79999995231628,3.53841780391458,2.482958,0.030136986301,854,0.817330210772,6.49548710601719,1341,9637,1717,6086,810,854,6.6905294556,0,2.04038544574924,0.0274858528800001,1.22527997970581,0.716403333333334,0,0.8,2.490390215488,0.50674688,0.648658054689266,0.268773795555556,2.1567488,1.03628919572954,0.3086672,13.090371344064,0.4,8.827160493822,1.06666660308838,1.66920890195729,0.328512145454545,0.355149670219259,3.807962529264,2.26787010506208,12.5,15,4,2,1.5,1.75,2.25,1,4,3.2,1.8,1,3.2,1.8,1,18,1,11,2,2,0.5,0.5,6,3,3.29315127833505,1.51640333333333,11.5000840672684,1.42417873024482,3.50170519572954,7.41627414146236,13.490371344064,12.2466978145415,6.07583263432608,39.2291759343939,7.5,5,40,6,6,16,19,16,9,60
"21",6101,"Ericsson","Drive","City","Big Cities","","","",43236.5806488542,43271.6737069097,2689,0.980661956117,0.009101251422,5.74303395878594,4.78399991989136,0.011320754716,26115,3.595143,4.03,0.016427340608,2197,2195,0.977003642987,3.547899,27.3739996050186,62.881231,4.012813,12.9557147383178,20.196535,15656,0.985947879407,60,2171,0.991708889912,3.59999990463257,3.8988457848956,1.536795,0.003715745471,2240,0.984821428571,5.09285358114234,8669,83726,13707,48988,6709,6988,54.4424817154167,68.1740614335,16.5139320824281,6.22641509466667,6.21600008010864,6.20333388888889,8.3572659392,4.0375,16.9338190649333,6.5011758,4.94125255466152,4.02401025833333,12.981228876,4.7267840545411,2.4314456,81.5687276442,3,51.9599263010667,8.99999976158142,9.24711446223899,1.98662,2.1284254529,26.9642857142,13.3607196282865,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,28.9563472572034,18.5980998280889,170.170990234209,15.4664386129949,20.1394585305411,52.5397162084693,84.5687276442,74.3220859777871,40.3250053424865,251.755535172943,37.5,25,200,30,30,80,95,80,45,300
"22",6102,"Huawei","Drive","City","Big Cities","","","",43224.4099099306,43262.8266498958,1809,0.984521835268,0.012352610892,5.56020078323031,4.75899982452393,0.005033557046,17577,3.66822,4.03,0.011662968652,1469,1464,0.988066825775,4.836597,32.6709527134986,70.926279,3.518563,12.5726162776243,19.789669,10493,0.991041646812,55,1470,0.997278911564,3.79999995231628,3.96164277126812,1.452926,0.00272851296,1505,0.983388704318,5.17559054054055,8669,83726,13707,48988,6709,6988,56.050764695,65.735541831,16.8795984335394,8.32214765133333,6.24100017547607,6.48752222222222,8.8337031348,4.0375,18.4089101033333,11.9137074,5.97276447578657,4.091052325,12.856677876,4.58140310022666,2.36634704,84.6249880872,3.16666666666667,54.0022675734666,9.49999988079071,9.4041069281703,2.023537,2.227148704,26.6777408636,13.2366141891892,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,31.4427462603488,19.3587253570222,172.587778143371,21.9775242007866,19.8044280162267,60.1908623203466,87.7916547538667,77.1570600864277,39.9143550527892,265.05393221343,37.5,25,200,30,30,80,95,80,45,300
