"","Rnk","Vendor","G_Level_1","G_Level_2","G_Level_3","G_Level_4","Fleet","WagonNumber","MinTimestamp","MaxTimestamp","CallAttempts","CallSetupSuccesRatio","CallDropRatio","CstAverage","CstPercentile10","CstPoorRatio","SpeechTestsAttempts","SpeechPolqaAverage","SpeechPolqaPercentile90","SpeechTestsPoorRatio","HttpFdfsDlAttemptsCount","HttpFdfsUlAttemptsCount","HttpFdfsCompletedRatio","HttpFdttDlMdrPercentile10","HttpFdttDlMdrAverage","HttpFdttDlMdrPercentile90","HttpFdttUlMdrPercentile10","HttpFdttUlMdrAverage","HttpFdttUlMdrPercentile90","HttpBrowsingAttemptsCount","HttpBrowsingCompletedRatio","HttpBrowsingTransferRttAverage","StreamingAttemptsCount","StreamingCompletedRatio","StreamingVmosPercentile10","StreamingVmosAverage","StreamingTtfpAverage","StreamingTtfpPoorRatio","ApplicationAttemptsCount","ApplicationCompletedRatio","ApplicationTransferTimeAverage","ModuleVoiceTests","ModulePOLQATests","ModuleHTTPTTests","ModuleHTTPBTests","ModuleVSLTBTests","ModuleMAFBBTests","ranCallSetupSuccesRatio","ranCallDropRatio","ranCstAverage","ranCstPoorRatio","ranCstPercentile10","ranSpeechPolqaAverage","ranSpeechTestsPoorRatio","ranSpeechPolqaPercentile90","ranHttpFdfsCompletedRatio","ranHttpFdttDlMdrPercentile10","ranHttpFdttDlMdrAverage","ranHttpFdttDlMdrPercentile90","ranHttpFdttUlMdrPercentile10","ranHttpFdttUlMdrAverage","ranHttpFdttUlMdrPercentile90","ranHttpBrowsingCompletedRatio","ranHttpBrowsingTransferRttAverage","ranStreamingCompletedRatio","ranStreamingVmosPercentile10","ranStreamingVmosAverage","ranStreamingTtfpAverage","ranStreamingTtfpPoorRatio","ranApplicationCompletedRatio","ranApplicationTransferTimeAverage","maxCallSetupSuccesRatio","maxCallDropRatio","maxCstAverage","maxCstPoorRatio","maxCstPercentile10","maxSpeechPolqaAverage","maxSpeechTestsPoorRatio","maxSpeechPolqaPercentile90","maxHttpFdfsCompletedRatio","maxHttpFdttDlMdrPercentile10","maxHttpFdttDlMdrAverage","maxHttpFdttDlMdrPercentile90","maxHttpFdttUlMdrPercentile10","maxHttpFdttUlMdrAverage","maxHttpFdttUlMdrPercentile90","maxHttpBrowsingCompletedRatio","maxHttpBrowsingTransferRttAverage","maxStreamingCompletedRatio","maxStreamingVmosPercentile10","maxStreamingVmosAverage","maxStreamingTtfpAverage","maxStreamingTtfpPoorRatio","maxApplicationCompletedRatio","maxApplicationTransferTimeAverage","summCST","summPOLQA","summVoice","summHttpTDL","summHttpTUL","summHttpT","summHttpB","summVSLVS","summAPPFB","summData","totalCST","totalPOLQA","totalVoice","totalHttpTDL","totalHttpTUL","totalHttpT","totalHttpB","totalVSLVS","totalAPPFB","totalData"
"48",12005,"ALL","Drive","City","Medium Cities","Dresden","","",43260.4658911921,43260.721680081,121,0.95867768595,0.025862068965,6.41564707695937,4.75420017242432,0.042016806722,1129,3.555952,4.02,0.016829052258,93,92,0.983783783783,3.37267,11.4554586813187,22.70346,3.63142,10.313079,16.756631,668,0.985029940119,64,93,1,3.20000004768372,3.8521504863616,1.674946,0,96,1,5.72030208333333,8669,83726,13707,48988,6709,6988,45.2823691458334,55.60344827625,14.891607794775,0,6.24579982757568,6.05092444444444,8.3170947742,4.025,17.8378378377333,5.765214,1.8413261642568,1.0162768,12.88511784,3.72393767179487,1.88106096,81.0179640714,2.86666666666667,55,8.00000011920929,9.13037621590399,1.93638327272727,2.5,30,12.419546875,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,21.1374076223507,18.3930192186444,140.416244263079,8.6228169642568,18.4901164717949,44.950771273785,83.8846307380667,76.5667596078406,42.419546875,247.821708494692,37.5,25,200,30,30,80,95,80,45,300
"49",12006,"ALL","Drive","City","Medium Cities","Erfurt","","",43259.6617368287,43260.3172662731,95,0.98947368421,0.010638297872,6.47368086652553,4.89169988632202,0.021276595744,930,3.453655,4.01,0.025806451612,71,70,0.971631205673,2.71765,11.5534030434783,23.59701,1.712933,8.67431485714286,16.229735,520,0.990384615384,67,74,0.986486486486,3.01999998092651,3.71260272640072,1.674109,0,75,0.946666666666,5.89916901408451,8669,83726,13707,48988,6709,6988,58.1140350875,67.021276596,14.7368510225986,2.90780141866667,6.10830011367798,5.65310277777778,7.4193548388,4.0125,16.2174940897333,3.01413,1.86039954004577,1.0877608,7.6414779,3.10204768937729,1.7967576,84.2307692304,2.76666666666667,50.0450450448667,6.79999987284342,8.78150681600179,1.93668763636364,2.5,20.7058823528471,12.1512464788732,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,23.7529525549432,17.0849576165778,165.973221855021,5.96229034004577,12.5402831893773,34.7200676191564,86.9974358970667,70.0632393700755,32.8571288317203,224.637871718019,37.5,25,200,30,30,80,95,80,45,300
"50",12007,"ALL","Drive","City","Medium Cities","Halle","","",43223.3623498727,43223.6014361343,117,1,0.034188034188,5.4139572575561,4.94219999313354,0,1130,3.78623,4.04,0.004424778761,92,92,1,13.346532,54.0455969655172,99.71954,7.92877,19.2830064335664,35.457206,648,1,55,92,1,3.8099999666214,3.97246372958888,1.262608,0,92,1,3.29886956521739,8669,83726,13707,48988,6709,6988,62.5,49.358974359,17.1720854848878,10,6.05780000686646,6.94645,10.254424778775,4.05,20,13.651663032,7.83307257310345,4.33099616666667,13.96805004,7.12791013376367,4.09095343333333,90,3.16666666666667,55,9.5249999165535,9.4311593239722,2.118696,2.5,30,15,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,33.2298854917543,21.250874778775,166.339734629529,25.8157317717701,25.186913607097,71.0026453788671,93.1666666666667,78.5748552405257,45,287.744167286059,37.5,25,200,30,30,80,95,80,45,300
"51",12008,"ALL","Drive","City","Medium Cities","Hannover","","",43262.7087297106,43263.5100678125,115,0.973913043478,0,6.06428692444511,4.89099998474121,0.034782608695,1120,3.615392,4.03,0.0125,95,95,0.994736842105,4.593672,25.3887410526316,62.968484,3.402394,10.2781960215054,16.938724,675,0.976296296296,53,94,1,3.73000001907349,3.95319146044711,1.289148,0,97,0.958762886597,4.67724731182796,8669,83726,13707,48988,6709,6988,51.6304347825,75,15.8285682014797,0,6.10900001525879,6.28208,8.75,4.0375,19.298245614,10.8934224,4.5546495734072,4.02473736666667,12.827403288,3.71070002867384,1.91019584,75.7777777776,3.23333333333333,55,9.32500004768372,9.38297865111777,2.105426,2.5,22.4135839901647,13.9841290322581,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,21.9375682167385,19.06958,167.637582999239,19.4728093400739,18.4482991566738,57.2193541107477,79.0111111109334,78.3134046988015,36.3977130224228,250.941582942905,37.5,25,200,30,30,80,95,80,45,300
"52",12009,"ALL","Drive","City","Medium Cities","Karlsruhe","","",43242.6825582523,43243.3685276736,109,0.990825688073,0.009259259259,5.47637962411951,4.76660008430481,0,1065,3.632779,4.03,0.015023474178,86,86,0.988372093023,3.977105,29.9949076744186,73.97032,4.08785,12.9963158139535,20.059495,630,0.990476190476,57,87,0.988505747126,3.64999997615814,3.91296510918196,1.627209,0,90,0.977777777777,7.36947727272728,8669,83726,13707,48988,6709,6988,58.6773700304167,68.05555555575,17.047240751761,10,6.23339991569519,6.34969611111111,8.4976525822,4.0375,18.4496124030667,8.303841,5.45163991554468,4.11641933333333,13.0001382,4.74219164221825,2.4095192,84.2857142856,3.1,50.7854406128667,9.12499994039536,9.2824127729549,1.95374218181818,2.5,25.5555555554,10.1740303030303,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,33.2806406674562,18.8848486933111,178.898414946934,17.871900248878,20.1518490422182,56.4733616941629,87.3857142856,73.6465955080351,35.7295858584303,253.235257346228,37.5,25,200,30,30,80,95,80,45,300
"53",12010,"ALL","Drive","City","Medium Cities","Koblenz","","",43235.6239009954,43236.386936088,111,0.864864864864,0.041666666666,6.80854082594113,5.04269995689392,0.020408163265,911,3.225938,3.96,0.031833150384,95,95,0.952631578947,3.861808,12.3414663829787,23.173148,1.720278,6.72560818181818,15.420711,680,0.967647058823,58,96,0.947916666666,3.70000004768372,3.97604393697047,2.154175,0.021978021978,98,0.948979591836,7.9532688172043,8669,83726,13707,48988,6709,6988,6.19369369333336,43.7500000005,13.8438911308237,3.19727891166667,5.91460008621216,4.76753666666667,6.8166849616,3.6,14.3653250773647,7.8195936,2.01386450615902,1.05385184,7.6877514,2.36253848951049,1.66731376,71.0034602073882,3.06666666666667,38.2843137253177,9.25000011920929,9.44010984242617,1.76211818181818,1.24542124542222,21.0324129650824,9.39564157706093,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,22.9557701287025,15.1842216282667,88.0836854508025,10.887309946159,11.7176036495105,36.9702386730342,74.0701268740549,59.9819631141935,30.4280545421433,201.450383203426,37.5,25,200,30,30,80,95,80,45,300
"54",12011,"ALL","Drive","City","Medium Cities","Ludwigshafen","","",43238.7224335301,43239.4559177546,114,1,0,5.49375439108464,4.74380011558533,0.008771929824,1134,3.761172,4.04,0.009700176366,96,96,1,10.64224,32.8981198947368,63.827368,4.62867,12.4888509677419,18.30253,680,0.995588235294,39,95,0.98947368421,3.79999995231628,4.00744677604513,1.162021,0,98,0.989795918367,4.43177319587629,8669,83726,13707,48988,6709,6988,62.5,75,17.0124912178307,7.076023392,6.25619988441467,6.84900222222222,9.06746031765,4.05,20,13.31092224,6.01700229529086,4.03189473333333,13.13642484,4.54961523904053,2.1284048,87.3529411764,3.7,51.140350877,9.49999988079071,9.51861694011282,2.1689895,2.5,27.9591836734,14.3523402061856,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,30.3447144942454,19.9664625398722,187.811177034118,23.3598192686242,19.8144448790405,63.1742641476647,91.0529411764,74.8279571979035,42.3115238795856,271.366686401554,37.5,25,200,30,30,80,95,80,45,300
"55",12012,"ALL","Drive","City","Medium Cities","Neuss","","",43263.7156509375,43264.6384457755,136,1,0,5.65213237439885,5.03349995613098,0,1360,3.598676,4.02,0.011764705882,103,103,0.917475728155,1.7402,20.3946182828283,40.92842,4.912093,12.216049,19.218159,724,0.982044198895,59,103,0.990291262135,3.59999990463257,3.87352939914255,1.58098,0,103,1,5.70203883495146,8669,83726,13707,48988,6709,6988,62.5,75,16.6957352512023,10,5.93300008773804,6.21707333333333,8.8235294118,4.025,11.0565391204706,0,3.58210987612972,2.4742736,13.207847436,4.44609038974359,2.27490544,79.226519337,3.03333333333333,51.4401294495,8.99999976158142,9.18382349785636,1.97055272727273,2.5,30,12.4469417475728,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,32.6287353389403,19.0656027451333,189.194338084074,6.05638347612972,19.9288432657436,37.0417658623439,82.2598526703334,74.0945054362105,42.4469417475728,235.843065716461,37.5,25,200,30,30,80,95,80,45,300
"56",12013,"ALL","Drive","City","Medium Cities","Nürnberg","","",43249.7160189583,43250.4019130903,117,0.974358974358,0,5.71888793748001,4.49899983406067,0.01724137931,1138,3.44521,3.99,0.028119507908,95,95,0.98947368421,6.166921,30.8408994565217,68.608933,6.434574,14.3854288172043,20.272416,675,0.995555555555,64,95,0.98947368421,3.79999995231628,3.95398934851301,1.646914,0,97,1,5.32531958762887,8669,83726,13707,48988,6709,6988,51.8162393158333,75,16.56222412504,4.25287356333333,6.50100016593933,5.62026111111111,7.1880492092,3.9,18.596491228,12.747032046,5.61638568363844,4.07174110833333,13.591512648,5.26934221781086,2.44358656,87.333333333,2.86666666666667,51.140350877,9.49999988079071,9.38497337128254,1.94657672727273,2.5,30,13.0120206185567,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,27.3160978543127,16.7083103203111,170.840647490457,22.4351588379718,21.3044414258109,62.3360914917826,90.1999999996666,74.471900856346,43.0120206185567,270.020012966352,37.5,25,200,30,30,80,95,80,45,300
"57",12014,"ALL","Drive","City","Medium Cities","Regensburg","","",43246.6924297685,43248.395609375,125,0.984,0.0081300813,5.55787807363805,4.78039979934692,0,1219,3.629803,4.02,0.01230516817,95,95,0.984210526315,1.618184,9.50678602150538,20.386984,2.52602,10.7954579120879,19.45291,680,0.985294117647,72,95,0.978947368421,3.29999995231628,3.78129031068535,1.84387,0,97,0.969072164948,5.29326595744681,8669,83726,13707,48988,6709,6988,55.8333333333333,68.902439025,16.8842438527239,10,6.21960020065308,6.33812277777778,8.769483183,4.025,17.894736842,0,1.46184780418789,0.83095872,12.60655704,3.90699428458721,2.3124656,81.1764705882,2.6,47.2807017543667,8.24999988079071,8.95322577671338,1.87495636363636,2.5,23.8690115220706,13.0601010638298,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,33.103844053377,19.1326059607778,176.972222372488,2.29280652418789,18.8260169245872,39.0135602907751,83.7764705882,68.8588837755071,36.9291125859004,228.578027240383,37.5,25,200,30,30,80,95,80,45,300
